"","tau","Model","Est","SE","AICc","GOF0","GOF5"
"108",27,"SingleExp",1248.14018968583,20.0244005041105,265.60050892874,3.27e-30,3.869e-22
"109",28,"SingleExp",1245.30017502917,19.8517088259877,271.663145292681,3.431e-30,1.836e-23
"110",29,"SingleExp",1243.84375,19.763363530151,274.368775198314,1.848e-29,3.958e-24
"111",30,"SingleExp",1239.41320914479,19.4951727378442,287.019483418041,1.668e-33,2.25e-25
"112",31,"SingleExp",1233.58585858586,19.1429896252462,306.210483182391,5.692e-43,5.692e-31
"113",32,"SingleExp",1229.28221512247,18.88323888302,319.934469673437,3.952e-47,4.139e-33
"114",33,"SingleExp",1227.83553326294,18.7960518657272,323.594076943305,3.871e-46,1.13e-32
"115",37,"SingleExp",1226.17677824268,18.6967146789899,328.912790484303,1.679e-46,3.947e-34
"116",39,"SingleExp",1224.43319523563,18.5925391997003,334.98939829278,4.711e-48,7.658e-35
"117",41,"SingleExp",1219.07483676544,18.2728743087996,358.637063758561,5.365e-88,2.254e-39
"118",42,"SingleExp",1217.30673626647,18.1674128043935,365.491847289583,7.873e-89,1.099e-35
"119",43,"SingleExp",1213.77380082785,17.9567449644414,381.027173384755,2.512e-105,5.255e-39
"120",44,"SingleExp",1212.01060240964,17.8516266725619,388.312778260602,1.978e-106,1.326e-39
"121",46,"SingleExp",1210.18379022646,17.7428552238488,396.272176798615,3.007e-110,1.785e-43
"122",47,"SingleExp",1206.55026825286,17.5264911169279,413.937955611897,6.473e-142,3.906e-45
"123",48,"SingleExp",1202.97854371148,17.3136988711943,431.798146194682,1.035e-171,9.267e-47
"124",49,"SingleExp",1199.46951083315,17.1045116893479,449.835730652178,8.879e-200,1.028e-52
"125",50,"SingleExp",1197.72779496244,17.0006450773717,458.317710373624,4.246e-200,1.359e-53
"126",51,"SingleExp",1194.27237354086,16.7944915062484,476.962466799395,2.273e-232,2.691e-55
"127",53,"SingleExp",1192.51838392475,16.6898641381662,486.101348527637,2.327e-235,3.511e-56
"128",54,"SingleExp",1190.76305220884,16.5851335314472,495.44437504528,4.613e-240,5.689e-57
"129",55,"SingleExp",1187.29158917132,16.3778572004996,515.743363066922,3.555e-295,1.773e-63
"130",56,"SingleExp",1185.57601144258,16.2753391376106,525.306746955305,1.438e-297,2.679e-64
"131",58,"SingleExp",1183.82468188245,16.1707024958232,535.407374355907,1.288e-306,3.952e-65
"132",61,"SingleExp",1180.22796292644,15.955803085008,558.540573713224,0,1.193e-66
"133",62,"SingleExp",1176.73098401695,15.7464896554717,581.593934828629,0,1.4e-74
"134",67,"SingleExp",1173.07042253521,15.5273412192127,607.215524791423,0,5.537e-76
"135",68,"SingleExp",1171.27614985163,15.4197530231289,619.341015180086,0,1.238e-76
"136",74,"SingleExp",1169.34016468435,15.3037591625881,633.199671763362,0,3.051e-77
"137",75,"SingleExp",1165.56137537859,15.0769089608531,662.192637737456,0,5.18e-88
"138",78,"SingleExp",1163.65992970123,14.9625968167187,676.565711803992,0,1.931e-88
"139",83,"SingleExp",1157.85444743935,14.6128626278732,726.273449207773,0,1.127e-89
"140",84,"SingleExp",1155.99950157834,14.5007397566194,741.388717769149,0,2.239e-97
"141",85,"SingleExp",1154.17008028838,14.3899848734903,756.525243892107,0,8.784e-98
"142",87,"SingleExp",1150.563187251,14.1711120183292,788.523770058685,0,1.089e-98
"143",99,"SingleExp",1148.55311470265,14.0490800335127,806.830401007727,0,5.105e-115
"144",101,"SingleExp",1146.55893712344,13.9277800656499,825.348076991522,0,1.011e-104
"145",111,"SingleExp",1144.40604587574,13.7967158741242,846.275759798727,0,6.79e-105
"146",114,"SingleExp",1142.26045400239,13.6658057851599,867.600111135127,0,2.838e-132
"147",119,"SingleExp",1140.08350454946,13.5327037381019,889.834653431106,0,2.756e-131
"148",121,"SingleExp",1137.94115950389,13.4013755405712,912.141226164534,0,4.362e-114
"149",126,"SingleExp",1135.77574727298,13.2683195020851,935.290361201462,0,8.723e-143
"150",128,"SingleExp",1133.64876148066,13.1372550645114,958.470050439508,0,1.247e-141
"151",132,"SingleExp",1131.52398523985,13.0059732165789,982.176090560995,0,1.185e-140
"152",138,"SingleExp",1129.37000268312,12.8725318846577,1006.87247870617,0,9.042e-115
"153",139,"SingleExp",1127.27726554268,12.7424620084789,1031.28722150154,0,3.628e-154
"154",145,"SingleExp",1125.16235780765,12.6106331422895,1056.62465220495,0,5.622e-149
"155",146,"SingleExp",1123.10937698262,12.4822238346576,1081.65482118171,0,3.414e-128
"156",157,"SingleExp",1120.96503670524,12.3477241813364,1108.70121957328,0,1.022e-128
"157",163,"SingleExp",1118.81558726674,12.2124349692952,1136.51555227333,0,2.624e-160
"158",166,"SingleExp",1116.70779531325,12.0792621467846,1164.378670696,0,1.233e-146
"159",168,"SingleExp",1114.65490563826,11.9490485868533,1192.05945846316,0,5.109e-166
"160",169,"SingleExp",1112.66812277273,11.8225226367567,1219.34281053236,0,1.403e-165
"161",174,"SingleExp",1110.69443192065,11.6963508704236,1247.08773324889,0,1.307e-150
"162",181,"SingleExp",1108.71232876712,11.5691528319588,1275.67736694114,0,3.361e-193
"163",190,"SingleExp",1106.70371171951,11.4397413631308,1305.46573663037,0,5.542e-192
"164",192,"SingleExp",1104.75360474979,11.3135373996596,1334.97469743894,0,2.122e-199
"165",195,"SingleExp",1102.84905464367,11.1897324767255,1364.40575700709,0,1.358e-198
"166",209,"SingleExp",1100.87614399024,11.0609515275046,1395.87647280733,0,2.657e-206
"167",5,"ThreeMixedExp",1581.875,NA,123.577737752427,8.516e-15,8.516e-15
"168",6,"ThreeMixedExp",1505.07980295567,NA,140.160412324889,2.678e-18,2.678e-18
"169",7,"ThreeMixedExp",1470.16567036721,NA,127.064957287159,1.417e-13,1.417e-13
"170",8,"ThreeMixedExp",1433.72348207755,NA,130.17559083804,4.768e-13,4.768e-13
"171",9,"ThreeMixedExp",1416.78382053026,NA,120.0633595058,8.396e-10,8.396e-10
"172",10,"ThreeMixedExp",1387.14898688916,NA,135.57867057339,6.117e-13,6.117e-13
"173",11,"ThreeMixedExp",1372.14905450504,NA,134.238210830702,3.843e-11,3.843e-11
"174",12,"ThreeMixedExp",1355.77588871763,NA,140.044063923479,3.421e-11,5.074e-07
"175",13,"ThreeMixedExp",1344.42480018635,NA,142.062617914919,2.417e-10,5.259e-08
"176",14,"ThreeMixedExp",1329.01430922308,NA,165.97385894561,1.893e-16,3.968e-14
"177",15,"ThreeMixedExp",1552.02540721446,NA,146.700501662047,3.118e-16,2.646e-15
"178",16,"ThreeMixedExp",1545.74699587042,NA,147.339016938994,1.048e-14,1.317e-11
"179",17,"ThreeMixedExp",1537.40962892525,NA,153.423685524089,7.773e-15,1.082e-10
"180",18,"ThreeMixedExp",1536.44096365549,NA,151.519121972945,8.173e-14,2.184e-10
"181",19,"ThreeMixedExp",1532.96477373292,NA,150.470075291005,2.194e-12,1.315e-11
"182",20,"ThreeMixedExp",1524.01471623395,NA,160.592108148381,4.161e-14,2.884e-08
"183",21,"ThreeMixedExp",1519.79370470687,NA,161.833935752738,6.367e-13,2.577e-08
"184",22,"ThreeMixedExp",1515.42264899594,NA,163.807984378067,5.252e-12,1.216e-12
"185",23,"ThreeMixedExp",1507.24781630527,NA,176.675399006852,6.676e-15,3.889e-09
"186",24,"ThreeMixedExp",1506.22772566438,NA,175.749818818331,6.389e-14,6.818e-09
"187",25,"ThreeMixedExp",1501.83131303866,NA,179.207168588732,3.106e-13,4.166e-09
"188",26,"ThreeMixedExp",1499.54395502683,NA,179.45869952867,3.718e-12,2.067e-08
"189",27,"ThreeMixedExp",1497.0899024152,NA,180.108118036681,3.335e-11,7.611e-08
"190",28,"ThreeMixedExp",1494.48874172193,NA,181.125645584252,2.272e-10,4.903e-08
"191",29,"ThreeMixedExp",1493.09562309245,NA,181.145612182496,1.208e-09,1.275e-07
"192",30,"ThreeMixedExp",1488.75407811942,NA,185.250781311675,1.514e-09,1.271e-06
"193",31,"ThreeMixedExp",1483.13614174568,NA,192.43265229633,2.04e-10,2.748e-06
"194",32,"ThreeMixedExp",1479.06911293245,NA,196.708599736433,2.97e-10,1.403e-06
"195",33,"ThreeMixedExp",1477.68100571142,NA,197.061656440499,1.488e-09,8.279e-08
"196",37,"ThreeMixedExp",1475.77615885967,NA,198.368058192138,5.415e-09,1.724e-07
"197",39,"ThreeMixedExp",1473.66454124717,NA,200.078424130784,1.58e-08,3.268e-07
"198",41,"ThreeMixedExp",1467.02110061585,NA,209.569435291835,6.793e-11,2.657e-06
"199",42,"ThreeMixedExp",1464.85344564702,NA,211.53662430138,2.566e-10,3.056e-06
"200",43,"ThreeMixedExp",1460.53446559098,NA,216.959294826971,1.305e-10,2.623e-10
"201",44,"ThreeMixedExp",1458.38820896355,NA,219.022217031127,4.591e-10,1.224e-09
"202",46,"ThreeMixedExp",1456.0916514564,NA,221.399295653247,1.263e-09,6.741e-08
"203",47,"ThreeMixedExp",1451.56422279109,NA,227.573647241146,2.546e-10,2.118e-06
"204",48,"ThreeMixedExp",1447.21232258592,NA,233.646151816013,7.146e-11,5.354e-06
"205",49,"ThreeMixedExp",1443.0400514496,NA,239.617677687527,2.612e-11,1.421e-07
"206",50,"ThreeMixedExp",1440.99586469665,NA,241.919965370088,9.273e-11,1.725e-06
"207",51,"ThreeMixedExp",1436.99756582469,NA,247.922694200742,3.197e-11,1.038e-05
"208",53,"ThreeMixedExp",1434.94855035949,NA,250.411491020877,9.894e-11,1.205e-05
"209",54,"ThreeMixedExp",1432.90527168646,NA,252.951898438343,2.74e-10,1.289e-05
"210",55,"ThreeMixedExp",1428.93791325053,42.4555689594649,259.390297385756,4.972e-11,1.378e-05
"211",56,"ThreeMixedExp",1427.01372014703,41.9399223472593,261.900877253687,1.446e-10,1.814e-11
"212",58,"ThreeMixedExp",1425.01656855396,41.4084102234392,264.614170102284,3.438e-10,3.891e-09
"213",61,"ThreeMixedExp",1420.84161558889,40.3230226143209,271.981992198575,1.547e-11,4.717e-06
"214",62,"ThreeMixedExp",1416.93311892103,39.4228717943365,279.123635717678,1.361e-12,3.352e-14
"215",67,"ThreeMixedExp",1412.70476487505,38.4529095100203,287.1836935229,2.746e-14,2.91e-09
"216",68,"ThreeMixedExp",1410.67493598891,38.0238388660004,290.446994836094,7.51e-14,4.242e-07
"217",74,"ThreeMixedExp",1408.35997194455,37.5033155548057,294.379462942405,9.064e-14,6.268e-07
"218",75,"ThreeMixedExp",1404.01436520232,36.6263592416209,303.39946927917,2.507e-16,1.434e-06
"219",78,"ThreeMixedExp",1401.7867048917,36.1913243737865,307.359102871957,4.486e-16,1.983e-06
"220",83,"ThreeMixedExp",1395.65502721522,35.1378713111831,323.602519329022,4.304e-26,5.791e-05
"221",84,"ThreeMixedExp",1393.14602164313,34.6822814314693,327.632911333488,4.424e-25,6.159e-05
"222",85,"ThreeMixedExp",1391.1785159683,34.3751250182935,331.596317741314,3.325e-24,6.395e-05
"223",87,"ThreeMixedExp",1387.67421837576,33.8744104627564,340.86998568945,4.546e-26,4.787e-10
"224",99,"ThreeMixedExp",1385.29609874315,33.4833017892714,345.831392717185,5.811e-26,5.015e-07
"225",101,"ThreeMixedExp",1383.83899382726,33.2921863033467,350.742462425567,4.98e-26,7.039e-07
"226",111,"ThreeMixedExp",1476.9639430009,62.244805134323,340.804411263907,1.805e-24,1.26e-06
"227",114,"ThreeMixedExp",1481.63528645948,64.2040372567727,345.496507622896,3.76e-25,9.945e-07
"228",119,"ThreeMixedExp",1481.36823964969,63.6424517525052,350.378288476471,9.28e-26,3.935e-09
"229",121,"ThreeMixedExp",1480.99346928346,63.0762461129199,355.205936393494,2.831e-26,5.039e-09
"230",126,"ThreeMixedExp",1480.57733273284,62.5079904899516,360.173718626219,6.239e-27,6.168e-09
"231",128,"ThreeMixedExp",1480.1794115968,61.9931072004532,365.082553566808,1.695e-27,7.351e-09
"232",132,"ThreeMixedExp",1479.76998931088,61.49661726182,370.055074336205,3.999e-28,8.486e-09
"233",138,"ThreeMixedExp",1479.32248552315,60.9924606169645,375.196954996221,6.079e-29,9.435e-09
"234",139,"ThreeMixedExp",1478.91305512311,60.5481698913719,380.216131123581,1.397e-29,1.038e-08
"235",145,"ThreeMixedExp",1478.47100588147,60.0979127812831,385.388052243211,2.117e-30,1.548e-08
"236",146,"ThreeMixedExp",1478.06754956628,59.6999765995472,390.441560565371,4.744e-31,1.612e-08
"237",157,"ThreeMixedExp",1477.57117935633,59.2468786683022,395.87980660113,3.247e-32,1.146e-08
"238",163,"ThreeMixedExp",1477.05448260102,58.7991492026671,401.424977301939,1.707e-33,1.151e-08
"239",166,"ThreeMixedExp",1476.5572859607,58.3851394372404,406.927674949842,1.189e-34,1.725e-14
"240",168,"ThreeMixedExp",1476.09105951184,58.009610430462,412.347076775083,1.207e-35,4.727e-14
"241",169,"ThreeMixedExp",1475.66560077147,57.6757615766308,417.647822781268,1.883e-36,5.545e-14
"242",174,"ThreeMixedExp",1475.23401668339,57.349377189718,423.005899286558,2.437e-37,6.304e-14
"243",181,"ThreeMixedExp",1474.77647413344,57.0172901637992,428.495448973914,2.035e-38,6.887e-14
"244",190,"ThreeMixedExp",1474.27559185406,56.6693116767445,434.180854089813,8.516e-40,7.173e-14
"245",192,"ThreeMixedExp",1473.80674233475,56.3523212571705,439.780538444466,5.484e-41,7.439e-14
"246",195,"ThreeMixedExp",1473.35827749545,56.0571678989417,445.338093028185,4.35e-42,7.651e-14
"247",209,"ThreeMixedExp",1472.8251074389,55.7220958936376,451.24338946681,8.568e-44,2.098e-14
"248",5,"TwoMixedExp",1581.875,NA,119.522999334754,8.516e-15,8.516e-15
"249",6,"TwoMixedExp",1505.07980295567,NA,136.109613147803,2.678e-18,2.678e-18
